               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10807,             0.02349,            0.032246,             0.73482,             0.17969,             0.14255,            0.039834,            0.081979,            0.019884,            0.021443,            0.070135,           0.0033183,           0.0033183
                   1,            0.082731,            0.018447,            0.015113,             0.69116,              0.3147,             0.28492,            0.094013,            0.076619,            0.019126,            0.017326,            0.040102,           0.0066187,           0.0066187
                   2,            0.073727,             0.01718,            0.010783,             0.70835,             0.34544,             0.33044,             0.12544,             0.06947,            0.020152,            0.026196,            0.010036,           0.0098861,           0.0098861
                   3,            0.065032,            0.015983,            0.008408,             0.83865,             0.42213,             0.46094,             0.19335,            0.058522,            0.017603,            0.016274,           0.0098515,           0.0098515,           0.0098515
                   4,            0.059408,            0.015104,           0.0062984,             0.77834,             0.53908,             0.56251,             0.25193,             0.05573,            0.016718,            0.012061,           0.0098515,           0.0098515,           0.0098515
                   5,            0.056904,            0.014788,           0.0049842,             0.84431,             0.58558,             0.61094,             0.30724,            0.053823,            0.016078,            0.010434,            0.009802,            0.009802,            0.009802
                   6,            0.054775,            0.014379,            0.004041,             0.85682,             0.60308,             0.62665,             0.33091,            0.052092,            0.016068,            0.010467,           0.0097525,           0.0097525,           0.0097525
                   7,            0.052962,             0.01406,           0.0035957,             0.85504,              0.6219,             0.63721,             0.33109,            0.051058,            0.015762,            0.010583,            0.009703,            0.009703,            0.009703
                   8,            0.051859,            0.014065,           0.0032257,             0.84203,             0.60347,             0.62274,             0.33198,             0.05115,            0.015759,            0.010879,           0.0096535,           0.0096535,           0.0096535
                   9,            0.050812,            0.013926,           0.0030425,             0.85288,             0.62736,             0.63972,             0.33489,            0.050398,            0.015618,            0.010176,            0.009604,            0.009604,            0.009604
                  10,                0.05,             0.01377,           0.0028243,             0.88007,             0.63084,             0.64321,             0.35364,            0.049053,            0.015356,            0.010482,           0.0095545,           0.0095545,           0.0095545
                  11,            0.049283,            0.013625,           0.0025937,             0.84768,             0.62102,             0.64141,             0.34952,            0.049275,            0.015621,             0.01024,            0.009505,            0.009505,            0.009505
                  12,            0.048501,             0.01336,           0.0024792,             0.85448,             0.62457,             0.64697,             0.35587,            0.048722,             0.01528,            0.010027,           0.0094555,           0.0094555,           0.0094555
                  13,            0.048112,            0.013471,           0.0024167,             0.88163,             0.61433,             0.64916,             0.36233,            0.048289,            0.015268,            0.010173,            0.009406,            0.009406,            0.009406
                  14,            0.047878,            0.013436,           0.0024157,             0.86486,             0.64636,             0.66069,             0.36489,            0.047947,              0.0152,           0.0099502,           0.0093565,           0.0093565,           0.0093565
                  15,            0.047335,            0.013354,           0.0022426,             0.87709,              0.6341,             0.66054,             0.37011,            0.047873,            0.015205,           0.0097424,            0.009307,            0.009307,            0.009307
                  16,            0.046958,            0.013151,           0.0021968,             0.87271,             0.63961,             0.65789,             0.37591,            0.047428,            0.015141,            0.010132,           0.0092575,           0.0092575,           0.0092575
                  17,            0.046692,            0.013119,           0.0022227,             0.87425,             0.63923,             0.66692,             0.38072,            0.047275,            0.015105,           0.0091687,            0.009208,            0.009208,            0.009208
                  18,            0.046484,            0.013074,           0.0020326,             0.88618,             0.65217,             0.67274,             0.38727,             0.04726,            0.015027,           0.0095773,           0.0091585,           0.0091585,           0.0091585
                  19,            0.045955,             0.01303,           0.0020166,             0.88156,             0.62952,             0.66511,             0.37764,            0.047249,             0.01509,            0.009627,            0.009109,            0.009109,            0.009109
                  20,            0.046019,            0.013161,           0.0020996,             0.89224,             0.64728,              0.6772,             0.38522,            0.046727,            0.014979,           0.0096484,           0.0090595,           0.0090595,           0.0090595
                  21,            0.045497,            0.012986,           0.0019454,             0.87347,             0.63207,             0.65914,             0.37764,            0.046572,            0.015123,           0.0097622,             0.00901,             0.00901,             0.00901
                  22,            0.045277,            0.012894,           0.0017555,              0.8847,             0.64342,             0.67765,             0.38644,            0.046609,            0.014824,           0.0097821,           0.0089605,           0.0089605,           0.0089605
                  23,            0.044952,            0.012817,           0.0019408,             0.88777,             0.63509,             0.68438,             0.39278,            0.046289,            0.014872,           0.0095333,            0.008911,            0.008911,            0.008911
                  24,            0.044952,            0.012784,           0.0017641,             0.89687,             0.65335,             0.68859,             0.39805,            0.045946,            0.014773,           0.0094836,           0.0088615,           0.0088615,           0.0088615
                  25,            0.044773,            0.012881,           0.0016387,               0.895,             0.64865,             0.69544,              0.3951,            0.046147,            0.014796,           0.0094129,            0.008812,            0.008812,            0.008812
                  26,            0.044469,            0.012861,           0.0017018,              0.8903,             0.65565,             0.67935,             0.39358,             0.04612,            0.014852,           0.0099349,           0.0087625,           0.0087625,           0.0087625
                  27,            0.044476,            0.012767,           0.0017422,             0.78685,             0.66004,             0.69077,             0.40395,            0.045912,            0.014812,           0.0094021,            0.008713,            0.008713,            0.008713
                  28,             0.04434,            0.012831,           0.0016101,              0.8579,             0.65413,             0.69207,             0.40427,            0.045507,            0.014721,           0.0091647,           0.0086635,           0.0086635,           0.0086635
                  29,            0.044166,            0.012816,           0.0016175,             0.88961,             0.65946,             0.69558,             0.40433,            0.045285,            0.014715,           0.0090679,            0.008614,            0.008614,            0.008614
                  30,            0.043785,             0.01261,           0.0015611,             0.80389,             0.66956,             0.69791,             0.40841,            0.045301,            0.014724,           0.0089946,           0.0085645,           0.0085645,           0.0085645
                  31,            0.043858,            0.012701,           0.0016412,             0.80044,             0.66528,             0.69348,             0.40166,            0.045291,            0.014662,            0.008968,            0.008515,            0.008515,            0.008515
                  32,            0.043362,            0.012542,           0.0015385,             0.89357,               0.662,             0.69653,             0.40749,            0.045286,            0.014707,           0.0092518,           0.0084655,           0.0084655,           0.0084655
                  33,            0.043423,            0.012604,            0.001501,             0.88775,             0.65971,             0.69185,             0.40048,             0.04558,              0.0147,           0.0097536,            0.008416,            0.008416,            0.008416
                  34,            0.043399,            0.012596,           0.0015976,             0.88785,              0.6544,             0.69667,             0.40562,            0.045248,            0.014702,           0.0091481,           0.0083665,           0.0083665,           0.0083665
                  35,            0.043035,            0.012661,            0.001537,             0.89792,             0.65043,             0.69812,             0.40856,            0.045091,            0.014647,           0.0094545,            0.008317,            0.008317,            0.008317
                  36,            0.042991,            0.012573,           0.0015119,             0.89287,             0.65455,             0.69128,             0.40468,             0.04526,            0.014724,           0.0095095,           0.0082675,           0.0082675,           0.0082675
                  37,            0.042751,            0.012652,           0.0014533,             0.85675,             0.66438,             0.69789,             0.40517,            0.044954,            0.014669,           0.0092052,            0.008218,            0.008218,            0.008218
                  38,            0.042932,            0.012389,           0.0014297,              0.8947,             0.65659,              0.7058,             0.41364,            0.044919,            0.014597,           0.0091849,           0.0081685,           0.0081685,           0.0081685
                  39,            0.042672,            0.012443,           0.0014917,             0.90326,             0.65702,             0.70388,             0.41466,            0.044528,            0.014559,           0.0091803,            0.008119,            0.008119,            0.008119
                  40,            0.042584,            0.012444,           0.0014418,             0.89778,              0.6646,              0.6933,             0.40906,            0.044614,            0.014573,           0.0095712,           0.0080695,           0.0080695,           0.0080695
                  41,            0.042317,            0.012471,           0.0013998,             0.89689,             0.65932,             0.69928,             0.40976,            0.044782,            0.014569,           0.0098853,             0.00802,             0.00802,             0.00802
                  42,            0.042227,            0.012347,           0.0014484,             0.88266,              0.6627,             0.69507,             0.40665,            0.044924,            0.014618,           0.0097418,           0.0079705,           0.0079705,           0.0079705
                  43,            0.042262,            0.012435,           0.0014601,             0.89234,             0.65537,             0.70213,             0.41242,            0.044728,              0.0146,           0.0092566,            0.007921,            0.007921,            0.007921
                  44,            0.042046,            0.012307,           0.0014138,             0.89511,             0.65547,             0.69898,             0.41165,            0.044616,            0.014597,           0.0092882,           0.0078715,           0.0078715,           0.0078715
                  45,             0.04174,            0.012454,           0.0014377,             0.89886,             0.66081,             0.70491,             0.41776,             0.04444,            0.014534,           0.0091767,            0.007822,            0.007822,            0.007822
                  46,            0.041837,            0.012372,            0.001343,             0.89538,             0.66216,             0.69812,             0.41263,            0.044501,            0.014558,           0.0094101,           0.0077725,           0.0077725,           0.0077725
                  47,            0.041702,            0.012385,           0.0013602,             0.89562,             0.66252,              0.7047,             0.41601,            0.044455,            0.014569,           0.0093231,            0.007723,            0.007723,            0.007723
                  48,            0.041353,            0.012094,           0.0013715,              0.9006,             0.65968,             0.70783,             0.42053,            0.044394,            0.014538,           0.0093907,           0.0076735,           0.0076735,           0.0076735
                  49,            0.041167,            0.012171,           0.0012681,             0.89393,             0.66312,             0.70082,             0.41755,            0.044302,            0.014522,           0.0093518,            0.007624,            0.007624,            0.007624
                  50,             0.04132,            0.012269,           0.0013026,              0.8857,             0.66417,             0.70576,             0.41687,            0.044362,             0.01451,           0.0093957,           0.0075745,           0.0075745,           0.0075745
                  51,             0.04125,             0.01226,           0.0012987,             0.89201,             0.66942,             0.71219,             0.42246,            0.044329,            0.014501,           0.0092186,            0.007525,            0.007525,            0.007525
                  52,            0.041185,            0.012113,           0.0012354,             0.86445,             0.67508,             0.71208,             0.42262,            0.044315,            0.014505,            0.009182,           0.0074755,           0.0074755,           0.0074755
                  53,            0.041106,            0.012103,            0.001222,             0.88755,             0.67368,             0.71144,              0.4224,            0.044242,            0.014486,           0.0091551,            0.007426,            0.007426,            0.007426
                  54,            0.041038,            0.012166,           0.0013313,             0.89054,             0.67503,             0.71134,             0.42128,            0.044356,             0.01449,           0.0091786,           0.0073765,           0.0073765,           0.0073765
                  55,               0.041,            0.012062,           0.0012753,             0.88596,             0.67446,             0.71428,             0.41957,            0.044445,            0.014507,           0.0091335,            0.007327,            0.007327,            0.007327
                  56,            0.040833,            0.012128,            0.001234,             0.86703,             0.67192,             0.71714,             0.42187,            0.044373,            0.014504,           0.0091132,           0.0072775,           0.0072775,           0.0072775
                  57,            0.040836,            0.012237,           0.0012395,             0.88655,             0.67273,             0.71496,             0.42068,            0.044345,            0.014473,           0.0090684,            0.007228,            0.007228,            0.007228
                  58,            0.040577,            0.012132,           0.0012289,             0.86849,             0.67295,             0.71154,             0.41955,            0.044365,            0.014486,           0.0090537,           0.0071785,           0.0071785,           0.0071785
                  59,            0.040538,            0.012098,            0.001261,             0.86145,             0.67752,             0.71199,             0.41901,             0.04437,            0.014494,           0.0090735,            0.007129,            0.007129,            0.007129
                  60,            0.040328,            0.011994,            0.001223,             0.86059,             0.67711,             0.71349,             0.41974,            0.044361,            0.014505,           0.0090662,           0.0070795,           0.0070795,           0.0070795
                  61,            0.040051,            0.011888,           0.0012112,             0.86487,             0.67415,             0.71067,             0.41853,            0.044342,            0.014502,           0.0091734,             0.00703,             0.00703,             0.00703
                  62,            0.040148,             0.01197,           0.0012093,             0.86416,              0.6744,             0.70955,             0.41882,            0.044315,            0.014502,           0.0091883,           0.0069805,           0.0069805,           0.0069805
                  63,            0.040042,             0.01203,           0.0012238,              0.8597,             0.67851,             0.70988,             0.41973,            0.044296,            0.014504,           0.0091731,            0.006931,            0.006931,            0.006931
                  64,            0.039776,            0.012068,            0.001209,             0.86956,             0.67763,               0.708,             0.42039,            0.044284,            0.014508,           0.0091954,           0.0068815,           0.0068815,           0.0068815
                  65,            0.040086,            0.012016,           0.0012085,             0.87115,             0.67594,             0.70896,             0.42033,            0.044269,            0.014504,            0.009187,            0.006832,            0.006832,            0.006832
                  66,            0.039876,            0.012029,           0.0011391,             0.86749,              0.6763,             0.70917,             0.41969,             0.04424,            0.014497,           0.0091389,           0.0067825,           0.0067825,           0.0067825
                  67,            0.039877,            0.011959,           0.0011761,             0.86309,             0.67526,             0.71031,             0.41929,             0.04425,            0.014498,           0.0090716,            0.006733,            0.006733,            0.006733
                  68,            0.039838,             0.01206,           0.0011239,             0.86942,              0.6746,              0.7106,              0.4195,            0.044243,            0.014492,           0.0090961,           0.0066835,           0.0066835,           0.0066835
                  69,            0.039575,            0.011897,           0.0012003,             0.84519,              0.6746,             0.71153,             0.41947,            0.044222,            0.014497,           0.0091121,            0.006634,            0.006634,            0.006634
                  70,            0.039189,            0.011729,           0.0010846,             0.85083,              0.6758,             0.71122,             0.41979,            0.044218,            0.014498,           0.0091279,           0.0065845,           0.0065845,           0.0065845
                  71,            0.039566,            0.011847,           0.0011437,             0.85858,             0.67347,             0.70956,             0.41951,            0.044213,              0.0145,           0.0091738,            0.006535,            0.006535,            0.006535
                  72,            0.039363,            0.011917,           0.0010609,             0.86221,             0.67458,             0.70951,             0.41966,            0.044221,            0.014504,           0.0091607,           0.0064855,           0.0064855,           0.0064855
                  73,            0.039432,            0.011794,           0.0010983,             0.85139,             0.67479,             0.71102,              0.4206,            0.044215,            0.014503,           0.0091578,            0.006436,            0.006436,            0.006436
                  74,            0.039307,            0.011857,           0.0011747,             0.85586,             0.67596,             0.71232,             0.42161,            0.044204,            0.014499,           0.0091107,           0.0063865,           0.0063865,           0.0063865
                  75,            0.039436,            0.011791,           0.0011273,             0.86621,             0.67757,             0.71361,             0.42194,            0.044196,            0.014496,           0.0090761,            0.006337,            0.006337,            0.006337
                  76,            0.039155,            0.011867,           0.0010793,             0.86652,             0.67828,             0.71348,             0.42233,            0.044211,            0.014499,           0.0090605,           0.0062875,           0.0062875,           0.0062875
                  77,            0.039007,            0.011836,           0.0010779,             0.87338,             0.67905,             0.71287,             0.42191,            0.044219,            0.014501,            0.009061,            0.006238,            0.006238,            0.006238
                  78,            0.039015,            0.011829,           0.0010748,             0.87584,             0.67971,             0.71302,             0.42229,            0.044217,            0.014499,           0.0090463,           0.0061885,           0.0061885,           0.0061885
                  79,            0.038902,            0.011816,           0.0010486,             0.88325,             0.67971,             0.71269,             0.42236,            0.044212,            0.014499,           0.0090734,            0.006139,            0.006139,            0.006139
                  80,            0.038573,            0.011672,           0.0011062,             0.86122,             0.67965,             0.71356,             0.42361,             0.04421,            0.014499,           0.0090664,           0.0060895,           0.0060895,           0.0060895
                  81,            0.038602,            0.011683,           0.0010317,              0.8604,             0.67809,             0.71334,             0.42338,            0.044211,              0.0145,           0.0090517,             0.00604,             0.00604,             0.00604
                  82,            0.038508,            0.011713,             0.00103,             0.87758,             0.67871,             0.71449,             0.42375,            0.044213,            0.014501,             0.00904,           0.0059905,           0.0059905,           0.0059905
                  83,            0.038151,            0.011589,           0.0010099,             0.78813,             0.70128,             0.71512,             0.42397,            0.044206,              0.0145,           0.0090248,            0.005941,            0.005941,            0.005941
                  84,            0.038481,            0.011662,           0.0011107,             0.79051,             0.70097,             0.71593,             0.42458,            0.044203,            0.014499,           0.0090176,           0.0058915,           0.0058915,           0.0058915
                  85,            0.038347,            0.011642,           0.0010428,               0.793,             0.70082,             0.71649,             0.42499,            0.044195,            0.014499,           0.0090151,            0.005842,            0.005842,            0.005842
                  86,            0.037932,            0.011581,           0.0010111,             0.79611,             0.70076,             0.71632,             0.42508,            0.044196,            0.014498,           0.0090083,           0.0057925,           0.0057925,           0.0057925
                  87,            0.038311,            0.011613,           0.0010836,             0.79556,             0.69974,             0.71615,             0.42504,            0.044195,            0.014498,           0.0090253,            0.005743,            0.005743,            0.005743
                  88,            0.037877,            0.011623,          0.00099461,             0.79231,             0.70068,             0.71527,             0.42471,              0.0442,              0.0145,           0.0090411,           0.0056935,           0.0056935,           0.0056935
                  89,            0.037989,            0.011652,             0.00103,              0.7939,             0.70009,             0.71511,               0.425,              0.0442,            0.014501,           0.0090494,            0.005644,            0.005644,            0.005644
                  90,            0.037836,            0.011603,          0.00099983,              0.7927,             0.70096,              0.7153,              0.4251,            0.044194,            0.014501,           0.0090484,           0.0055945,           0.0055945,           0.0055945
                  91,            0.037609,            0.011635,           0.0010214,             0.78758,             0.70041,             0.71451,             0.42486,            0.044195,            0.014501,           0.0090535,            0.005545,            0.005545,            0.005545
                  92,            0.037755,            0.011589,          0.00098826,             0.78629,             0.70032,             0.71353,             0.42512,            0.044199,            0.014501,           0.0090763,           0.0054955,           0.0054955,           0.0054955
                  93,            0.037812,            0.011545,           0.0010027,             0.78479,             0.70025,             0.71379,             0.42515,            0.044207,            0.014501,           0.0090842,            0.005446,            0.005446,            0.005446
                  94,            0.037702,            0.011561,          0.00099949,             0.79091,             0.70035,             0.71411,             0.42596,            0.044204,            0.014501,           0.0090793,           0.0053965,           0.0053965,           0.0053965
                  95,              0.0376,            0.011474,          0.00097749,             0.79418,             0.69982,             0.71448,             0.42587,             0.04421,            0.014502,           0.0090816,            0.005347,            0.005347,            0.005347
                  96,            0.037484,            0.011528,          0.00099057,             0.79508,             0.70001,             0.71408,             0.42556,            0.044215,            0.014504,           0.0091045,           0.0052975,           0.0052975,           0.0052975
                  97,            0.037419,            0.011556,           0.0009687,             0.79224,             0.70061,             0.71335,             0.42535,            0.044222,            0.014507,           0.0091199,            0.005248,            0.005248,            0.005248
                  98,            0.037135,             0.01148,          0.00097157,             0.79233,             0.70046,             0.71304,             0.42522,            0.044225,            0.014508,           0.0091284,           0.0051985,           0.0051985,           0.0051985
                  99,            0.037243,            0.011481,          0.00095418,             0.78991,             0.70083,             0.71283,             0.42531,            0.044228,            0.014507,           0.0091293,            0.005149,            0.005149,            0.005149
                 100,            0.036908,            0.011399,          0.00095129,             0.79044,             0.70048,             0.71235,             0.42509,            0.044224,            0.014507,            0.009132,           0.0050995,           0.0050995,           0.0050995
                 101,            0.036914,            0.011495,           0.0009104,             0.78939,             0.70109,             0.71187,             0.42498,            0.044225,            0.014507,           0.0091359,             0.00505,             0.00505,             0.00505
                 102,            0.036822,            0.011482,          0.00096254,              0.8668,             0.67183,             0.71085,             0.42498,            0.044226,            0.014507,            0.009144,           0.0050005,           0.0050005,           0.0050005
                 103,            0.036929,            0.011433,          0.00092919,             0.89642,             0.67174,             0.71149,             0.42463,            0.044225,            0.014508,           0.0091524,            0.004951,            0.004951,            0.004951
                 104,            0.036593,            0.011405,          0.00091438,             0.89713,             0.67127,             0.71121,             0.42474,            0.044226,            0.014508,           0.0091554,           0.0049015,           0.0049015,           0.0049015
                 105,            0.036541,            0.011337,          0.00093377,             0.89623,             0.67192,             0.71078,             0.42456,            0.044235,            0.014508,           0.0091655,            0.004852,            0.004852,            0.004852
                 106,            0.036647,            0.011297,          0.00087399,             0.89635,             0.67221,              0.7106,             0.42443,            0.044239,            0.014508,           0.0091869,           0.0048025,           0.0048025,           0.0048025
                 107,            0.036425,            0.011328,          0.00088642,             0.89635,             0.67213,             0.71067,             0.42447,            0.044237,            0.014508,           0.0091963,            0.004753,            0.004753,            0.004753
                 108,            0.036608,            0.011386,          0.00084211,              0.8962,              0.6718,             0.71053,             0.42432,            0.044243,            0.014508,            0.009212,           0.0047035,           0.0047035,           0.0047035
                 109,            0.036336,            0.011266,          0.00092844,             0.89606,             0.67193,             0.71022,             0.42419,            0.044244,            0.014507,           0.0092201,            0.004654,            0.004654,            0.004654
                 110,            0.036482,             0.01127,          0.00085303,             0.89629,             0.67194,             0.70994,             0.42416,            0.044244,            0.014506,             0.00922,           0.0046045,           0.0046045,           0.0046045
